Model,Trial,Mean_Score,Std_Score,Best_Params
GradientBoosting,17,0.9689053669228729,0.0021258267273192404,"{'n_estimators': 289, 'max_depth': 3, 'learning_rate': 0.05314392565716168, 'subsample': 0.9829199443984507, 'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': 'log2', 'random_state': 42}"
CatBoost,7,0.9689053232016743,0.0017671163142035894,"{'iterations': 133, 'depth': 15, 'learning_rate': 0.2347885187747232, 'l2_leaf_reg': 10, 'border_count': 232, 'bagging_temperature': 1, 'random_strength': 10, 'random_state': 42}"
SVC,10,0.9689053232016743,0.001984592862992553,"{'C': 87.87048578526175, 'kernel': 'rbf', 'gamma': 'auto', 'random_state': 42}"
MLPClassifier,12,0.9688513566687945,0.0023238933550782034,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.940160010033222, 'learning_rate_init': 0.02255497580880492, 'max_iter': 410, 'random_state': 42}"
SGDClassifier,7,0.9687973901359147,0.002181396725817,"{'loss': 'squared_hinge', 'penalty': 'l2', 'alpha': 0.025516584831420778, 'learning_rate': 'invscaling', 'eta0': 0.5134849842530558, 'random_state': 42}"
XGBoost,0,0.9687973901359147,0.002391672726958702,"{'n_estimators': 218, 'max_depth': 15, 'learning_rate': 0.22227824312530747, 'subsample': 0.8394633936788146, 'colsample_bytree': 0.6624074561769746, 'reg_alpha': 1, 'reg_lambda': 0, 'min_child_weight': 9, 'random_state': 42}"
RandomForest,9,0.9687434090293019,0.0021733290014729644,"{'n_estimators': 331, 'max_depth': 8, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True, 'random_state': 42}"
ExtraTrees,19,0.9687433944555691,0.002328831990785256,"{'n_estimators': 477, 'max_depth': 17, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True, 'random_state': 42}"
LightGBM,4,0.9686894424964221,0.0022234933946804238,"{'n_estimators': 187, 'max_depth': 4, 'learning_rate': 0.2084275776885255, 'num_leaves': 143, 'subsample': 0.6488152939379115, 'colsample_bytree': 0.798070764044508, 'reg_alpha': 0, 'reg_lambda': 10, 'min_child_samples': 33, 'random_state': 42}"
LogisticRegression,0,0.9686894279226893,0.0023009410846601287,"{'C': 37.454637344617396, 'penalty': 'l1', 'solver': 'liblinear', 'max_iter': 396, 'random_state': 42}"
RidgeClassifier,16,0.9684194495209614,0.001996516382437611,"{'alpha': 77.51533587058917, 'solver': 'sparse_cg', 'random_state': 42}"
DecisionTree,12,0.9683115164552019,0.0024990760595170803,"{'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'log2', 'criterion': 'entropy', 'random_state': 42}"
