iter	Passed	Remaining
0	340	108550
1	344	54725
2	732	77452
3	738	58352
4	945	59542
5	1122	58750
6	1471	65819
7	1655	64552
8	2000	69116
9	2358	73101
10	2718	76371
11	3077	78999
12	3438	81202
13	3798	83023
14	4208	85582
15	4611	87612
16	5005	89218
17	5021	84246
18	5027	79643
19	5073	76107
20	5082	72368
21	5091	68965
22	5496	70982
23	5501	67857
24	5506	64978
25	5900	66723
26	6291	68270
27	6698	69851
28	7097	71220
29	7104	68680
30	7118	66366
31	7312	65816
32	7319	63660
33	7423	62445
34	7428	60486
35	7812	61632
36	8184	62600
37	8193	60805
38	8209	59147
39	8586	60102
40	8961	60984
41	9337	61803
42	9722	62629
43	10092	63306
44	10460	63927
45	10848	64619
46	11238	65276
47	11613	65810
48	12007	66406
49	12390	66908
50	12784	67429
51	13164	67846
52	13538	68205
53	13921	68574
54	14288	68845
55	14657	69097
56	15032	69360
57	15426	69687
58	15802	69907
59	16187	70145
60	16557	70303
61	16931	70458
62	17307	70601
63	17679	70719
64	18053	70827
65	18433	70940
66	18807	71019
67	19182	71087
68	19554	71134
69	19923	71156
70	20290	71161
71	20662	71169
72	21032	71166
73	21401	71145
74	21762	71089
75	22127	71039
76	22504	71019
77	22870	70957
78	23235	70884
79	23620	70861
80	23986	70776
81	24361	70707
82	24735	70629
83	25113	70556
84	25503	70510
85	25907	70493
86	26306	70453
87	26709	70415
88	27100	70339
89	27490	70252
90	27902	70215
91	28289	70108
92	28664	69965
93	29062	69873
94	29440	69726
95	29821	69583
96	30211	69455
97	30593	69304
98	30971	69137
99	31366	69006
100	31753	68850
101	32135	68682
102	32532	68538
103	32932	68398
104	33347	68283
105	33752	68142
106	34154	67990
107	34555	67831
108	34948	67651
109	35339	67466
110	35738	67291
111	36123	67086
112	36540	66937
113	36948	66766
114	37351	66582
115	37771	66425
116	38188	66258
117	38609	66094
118	39017	65904
119	39435	65725
120	39857	65550
121	40270	65357
122	40690	65171
123	41123	65001
124	41546	64813
125	41964	64612
126	42386	64413
127	42806	64209
128	43234	64014
129	43654	63802
130	44085	63604
131	44511	63394
132	44912	63148
133	45322	62910
134	45738	62678
135	46168	62463
136	46593	62237
137	47021	62013
138	47457	61797
139	47871	61549
140	48291	61305
141	48711	61060
142	49122	60801
143	49526	60532
144	49921	60249
145	50328	59980
146	50728	59700
147	51124	59414
148	51530	59139
149	51921	58843
150	52313	58549
151	52715	58264
152	53106	57965
153	53498	57667
154	53902	57379
155	54292	57076
156	54689	56779
157	55092	56487
158	55313	56008
159	55784	55784
160	56177	55479
161	56596	55199
162	57027	54928
163	57432	54630
164	57855	54348
165	58269	54057
166	58669	53750
167	59096	53468
168	59520	53180
169	59947	52894
170	60376	52608
171	60804	52319
172	61234	52031
173	61662	51739
174	62083	51440
175	62515	51149
176	62937	50847
177	63366	50550
178	63779	50239
179	64181	49918
180	64584	49597
181	64978	49269
182	65369	48937
183	65779	48619
184	66194	48304
185	66601	47981
186	67029	47673
187	67440	47352
188	67851	47029
189	68260	46704
190	68667	46377
191	69079	46053
192	69489	45726
193	69923	45413
194	70320	45077
195	70722	44742
196	71133	44413
197	71537	44078
198	71946	43746
199	72351	43411
200	72748	43069
201	73166	42740
202	73565	42399
203	73965	42058
204	74369	41719
205	74765	41374
206	75186	41043
207	75595	40705
208	76015	40371
209	76424	40031
210	76837	39693
211	77262	39360
212	77696	39030
213	78128	38699
214	78564	38368
215	78990	38032
216	79417	37695
217	79852	37362
218	80266	37017
219	80669	36668
220	81068	36315
221	81463	35961
222	81885	35618
223	82293	35268
224	82718	34925
225	83135	34578
226	83545	34227
227	83945	33872
228	84346	33517
229	84753	33164
230	85167	32813
231	85576	32460
232	86004	32113
233	86426	31763
234	86859	31417
235	87307	31075
236	87733	30725
237	88174	30379
238	88593	30025
239	89020	29673
240	89458	29324
241	89881	28970
242	90314	28618
243	90740	28263
244	91174	27910
245	91629	27563
246	92069	27210
247	92520	26860
248	92960	26506
249	93402	26152
250	93840	25796
251	94282	25441
252	94726	25085
253	95162	24727
254	95614	24372
255	96046	24011
256	96481	23651
257	96936	23294
258	97372	22933
259	97816	22573
260	98253	22210
261	98687	21846
262	99125	21483
263	99559	21118
264	99990	20752
265	100425	20387
266	100859	20020
267	101298	19655
268	101738	19288
269	102179	18922
270	102613	18553
271	103046	18184
272	103483	17815
273	103911	17444
274	104345	17074
275	104772	16702
276	105204	16331
277	105636	15959
278	106063	15586
279	106504	15214
280	106924	14840
281	107359	14466
282	107791	14092
283	108221	13718
284	108655	13343
285	109075	12966
286	109510	12591
287	109940	12215
288	110364	11838
289	110802	11462
290	111239	11085
291	111778	10718
292	112260	10344
293	112704	9967
294	113153	9589
295	113597	9210
296	114043	8831
297	114484	8451
298	114942	8072
299	115408	7693
300	115875	7314
301	116325	6933
302	116769	6551
303	117212	6169
304	117655	5786
305	118093	5402
306	118547	5019
307	118981	4635
308	119440	4251
309	119886	3867
310	120334	3482
311	120801	3097
312	121236	2711
313	121696	2325
314	122144	1938
315	122607	1551
316	123045	1164
317	123517	776
318	123995	388
319	124439	0
